반도체,IT 서비스,전기와전자제품,디스플레이,하드웨어,에너지 장비 및 서비스,석유와 가스,에너지,전기유틸리티,가스유틸리티,복합유틸리티,독립 전력 생산 및 에너지 거래,유틸리티,전기통신 서비스,미디어와 엔터테인먼트,커뮤니케이션,식품과 기본 식료품 소매,음식료품,가정용품과 개인용품,은행,증권,다각화된 금융,보험,부동산,화학,포장재,비철금속,철강,종이와 목재,자본재,상업서비스와 공급품,운송,자동차와 부품,내구소비재와 의류,"호텔, 레스토랑, 레저 등",소매(유통),교육서비스,건강관리와 서비스,제약과 생물공학
디엔에프,다날,롯데에너지머티리얼즈,프로이천,인탑스,,,,,,,,,,모비릭스,,인산가,매일유업,,SK증권,,컴퍼니케이,한국금융지주,,리더스코스메틱,대영포장,,원일특강,진양산업,한진,뉴보텍,쏘카,다산솔루에타,경동나비엔,메타랩스,한주라이트메탈,,차바이오텍,알피바이오
네온테크,엠아이큐브솔루션,삼성SDI,나래나노텍,이랜텍,,,,,,,,,,초록뱀미디어,,하림지주,크라운제과,,,,대신증권,한화손해보험,,한농화성,대림제지,,한국철강,신스틸,넥스턴바이오,태영건설,NICE평가정보,계양전기,PN풍년,오토앤,신원,,비올,아이센스
솔브레인,엑셈,큐로컴,인지디스플레,홈캐스트,,,,,,,,,,에이스토리,,이지바이오,에이치피오,,,,대성창투,SK증권,,테이팩스,한국내화,,TCC스틸,태림포장,강남제비스코,화천기계,LX홀딩스,전방,에스제이그룹,알톤스포츠,와이엠,,에이비엘바이오,큐라티스
디티앤씨,오상자이엘,코콤,에스엔유,코위버,,,,,,,,,,덱스터,,하림,사조씨푸드,,,,기업은행,신한지주,,세아메카닉스,태경산업,,KG ETS,원림,국보디자인,웰크론,삼부토건,HDC현대EP,쿠쿠홀딩스,메가스터디,우리산업홀딩스,,고려제약,대봉엘에스
시지트로닉스,아시아나IDT,원익피앤이,덕산테코피아,삼지전자,,,,,,,,,,한국경제TV,,동원F&B,한성기업,,,,리드코프,한화생명,,석경에이티,한솔제지,,동양철관,동국홀딩스,인화정공,지엔씨에너지,HD현대중공업,경동나비엔,와이엠,KB오토시스,대구백화점,,옵티팜,에이프로젠바이오로직스
아이윈플러스,딥노이드,드림텍,엘디티,아모그린텍,,,,,,,,,,LG유플러스,,남양유업,오리온,,,,에이티넘인베스트,삼성증권,,에스폴리텍,엠투엔,,포스코엠텍,한솔케미칼,다스코,GS글로벌,제주항공,대동금속,대동금속,모나미,이마트,,네오펙트,에스티팜
넥스틴,대신정보통신,파인엠텍,우리이앤엘,기산텔레콤,,,,,,,,,,줌인터넷,,오에스피,카나리아바이오,,,,메리츠금융지주,부국증권,,진양산업,대창,,동일제강,케이피티유,유진로봇,남광토건,한국종합기술,한주라이트메탈,신원,GKL,신세계,,이지케어텍,광동제약
필옵틱스,엑스게이트,인터엠,케이피에스,텔콘RF제약,,,,,,,,,,JYP Ent.,,동원수산,MH에탄올,,,,삼성생명,큐캐피탈,,유니드,동남합성,,세아특수강,한창제지,한화시스템,퍼시스,로보티즈,에스제이그룹,네오팜,위니아에이드,파세코,,한미약품,콜마비앤에이치
동운아나텍,DB,팸텍,파인텍,하인크코리아,,,,,,,,,,와이즈버즈,,이지홀딩스,하림지주,,,,인카금융서비스,KB금융,,원림,신대양제지,,엠투엔,아세아제지,노루페인트,양지사,HD현대인프라코어,와이엠,이마트,HL홀딩스,한세예스24홀딩스,,알피바이오,카이노스메드
두산테스나,이루온,씨아이에스,에스에이엠티,유아이엘,,,,,,,,,,YG PLUS,,케이씨피드,오에스피,,,,미래에셋생명,DB손해보험,,티케이케미칼,삼륭물산,,SHD,한국특강,대원전선,케이에스피,고려시멘트,쿠쿠홀딩스,파세코,까스텔바작,그래디언트,,아이센스,제노레이
